budget,actual_cost,revenue,profit,profit_margin,schedule_delay,project_duration,team_size,labor_cost,resource_utilization,margin_risk
1592946.21,1678176.67,1905267.33,227090.66,0.119,0,13,19,532208.63,0.74,0
647157.52,639531.21,785739.18,146207.97,0.186,0,10,15,182068.78,0.92,0
185135.86,184776.29,218831.99,34055.69,0.156,0,3,10,42703.25,0.63,0
161242.52,196623.72,206447.56,9823.84,0.048,0,8,13,53460.69,0.87,0
136760.76,149493.25,162044.63,12551.37,0.077,0,6,15,37694.63,0.66,0
797101.42,747225.57,1051504.13,304278.56,0.289,0,8,9,182611.89,0.87,0
658997.68,729278.92,742436.82,13157.9,0.018,0,8,15,164660.72,0.85,0
123487.46,113845.36,145670.22,31824.85,0.218,1,4,16,33191.89,0.79,1
1751547.23,1967909.06,2129838.78,161929.72,0.076,2,14,21,706261.05,0.72,0
72483.49,83721.72,85421.67,1699.95,0.02,0,3,10,31487.54,0.86,0
722664.94,697220.57,855085.57,157865.0,0.185,0,5,15,194388.93,0.72,0
50000.0,49326.87,58359.67,9032.8,0.155,1,7,13,12556.95,0.9,0
1947217.84,1949024.44,2212577.09,263552.65,0.119,1,14,22,644631.68,0.72,0
1039710.41,1282061.26,1153863.56,-128197.69,-0.111,0,12,21,369455.88,0.61,1
329702.93,331780.21,388437.42,56657.21,0.146,0,2,10,101408.5,0.79,0
421041.01,413027.57,533993.77,120966.2,0.227,0,11,13,122323.44,0.61,0
1437202.9,1439431.65,1775349.4,335917.75,0.189,1,16,15,375327.92,0.93,0
641481.55,682197.42,834441.28,152243.86,0.182,0,7,19,206668.49,0.8,0
125461.41,118213.49,156760.13,38546.64,0.246,1,7,10,32621.31,0.65,0
131301.74,147106.19,143734.88,-3371.31,-0.023,0,4,9,32856.34,0.85,0
180053.35,195622.74,231900.84,36278.1,0.156,1,8,19,44350.06,0.95,0
1243879.04,1285138.99,1621237.64,336098.65,0.207,0,13,20,328916.54,0.65,0
75871.67,81531.13,90739.01,9207.89,0.101,0,5,11,21666.5,0.83,0
1751268.81,1819212.04,2085518.24,266306.2,0.128,3,18,16,612271.29,0.82,1
1110950.42,1119516.58,1359155.42,239638.84,0.176,1,9,19,336903.32,0.81,0
315123.54,346599.31,369227.93,22628.62,0.061,2,13,13,124682.75,0.88,0
71028.07,71280.8,89977.67,18696.87,0.208,0,3,11,22012.48,0.81,0
131119.32,126070.62,168307.1,42236.48,0.251,0,2,19,30738.8,0.82,0
540054.57,501142.29,610182.97,109040.68,0.179,0,3,7,173932.24,0.88,0
618967.35,743335.95,759288.28,15952.33,0.021,2,14,11,235308.96,0.85,1
97952.57,108307.24,120291.26,11984.03,0.1,0,5,11,37493.62,0.85,0
86269.58,81159.23,108118.38,26959.15,0.249,1,7,11,27407.97,0.65,0
687314.66,825304.69,762597.45,-62707.25,-0.082,0,12,13,205926.89,0.9,0
98888.93,105180.62,119736.29,14555.67,0.122,0,2,16,38970.33,0.7,0
520094.87,615220.61,579452.4,-35768.21,-0.062,1,13,14,210702.02,0.7,0
653022.44,639050.06,806361.95,167311.89,0.207,0,6,15,165844.1,0.73,0
479523.16,410500.97,568349.96,157848.99,0.278,0,6,14,113123.78,0.84,0
1467135.21,1432607.05,1757060.9,324453.85,0.185,0,15,16,540103.65,0.83,0
1093025.46,1083442.55,1464425.61,380983.06,0.26,2,14,9,385812.34,0.67,0
1411337.63,1686436.1,1702346.4,15910.3,0.009,0,14,19,393067.87,0.64,1
735590.23,773593.39,865397.69,91804.3,0.106,0,15,18,270003.11,0.68,0
91638.65,90587.63,106529.14,15941.51,0.15,0,9,9,27457.27,0.78,0
365521.38,378519.91,442399.83,63879.92,0.144,1,7,18,89662.2,0.95,0
325384.73,377275.06,385278.73,8003.68,0.021,1,8,14,121306.45,0.71,0
727916.05,744816.79,892173.43,147356.64,0.165,1,12,12,185813.89,0.71,0
489629.41,523560.27,546551.96,22991.69,0.042,1,9,15,157504.25,0.74,1
664246.06,728259.89,807581.42,79321.53,0.098,0,17,21,169469.76,0.78,0
2042362.85,1825010.28,2568924.17,743913.89,0.29,0,15,23,641421.59,0.54,0
119085.28,122763.28,126018.37,3255.09,0.026,0,8,16,29796.55,0.71,0
372232.66,427327.03,412901.91,-14425.12,-0.035,0,7,20,160955.63,0.66,1
167507.18,183744.57,207834.99,24090.42,0.116,1,6,14,48634.28,0.7,1
161147.3,177809.43,196656.83,18847.4,0.096,0,8,6,58036.57,0.79,0
884982.29,775409.48,994229.88,218820.4,0.22,0,10,21,291777.32,0.83,0
566720.86,629086.77,636922.66,7835.9,0.012,1,7,16,230071.64,0.82,1
163439.28,168689.4,189953.05,21263.65,0.112,0,12,14,37446.46,0.72,0
162004.42,181757.76,191846.15,10088.38,0.053,0,8,8,57238.33,0.74,0
1848563.49,2085208.84,2479389.59,394180.75,0.159,2,15,16,752002.68,0.8,0
178962.24,191203.4,228784.95,37581.55,0.164,1,9,11,55628.87,0.91,0
711319.12,870423.73,865439.66,-4984.07,-0.006,1,7,14,323871.58,0.73,1
584170.49,510202.78,640029.43,129826.65,0.203,0,7,13,115971.03,0.71,0
116675.78,119623.39,156794.98,37171.59,0.237,0,2,12,41678.43,0.67,0
1266254.5,1356782.73,1638623.79,281841.06,0.172,0,9,17,373435.05,0.86,0
117573.57,106492.12,149539.4,43047.28,0.288,0,2,9,38892.81,0.59,0
1543460.3,1662963.04,1801730.88,138767.84,0.077,0,11,16,467981.45,0.53,1
80512.82,85624.77,86628.65,1003.88,0.012,0,4,11,28135.2,0.79,0
631008.61,694694.86,743332.05,48637.19,0.065,1,10,18,166233.08,0.64,0
568782.47,604495.48,715095.77,110600.29,0.155,1,9,12,166179.9,0.65,1
876032.57,843122.72,1048892.73,205770.01,0.196,0,7,12,291920.81,0.89,0
639048.28,737683.6,810902.0,73218.4,0.09,0,3,19,245570.25,0.58,0
455339.36,472229.02,491308.31,19079.29,0.039,0,8,12,152012.59,0.69,0
479119.49,502063.34,532397.63,30334.29,0.057,0,6,8,165743.1,0.78,0
584680.73,596991.24,709600.79,112609.55,0.159,1,5,16,133568.63,0.72,0
1411355.9,1614379.41,1539540.02,-74839.39,-0.049,0,12,22,609334.76,0.79,0
627495.03,671442.39,710784.31,39341.92,0.055,0,13,9,237277.0,0.57,0
95166.1,91757.3,125623.99,33866.69,0.27,0,8,3,26705.69,0.77,0
1587558.53,1810116.23,2125202.05,315085.82,0.148,1,19,24,456529.3,0.7,0
1049108.9,1192692.99,1255581.17,62888.18,0.05,0,12,18,287324.96,0.76,1
115015.29,124359.34,129467.66,5108.32,0.039,1,6,6,44541.49,0.57,1
93849.35,106470.63,108845.17,2374.54,0.022,2,15,3,40130.73,0.77,1
774870.9,875825.21,913477.85,37652.64,0.041,1,9,14,264209.49,0.82,1
541722.23,526698.9,617001.27,90302.37,0.146,0,9,10,183665.15,0.61,0
98575.47,109147.95,123350.91,14202.96,0.115,1,8,16,26507.24,0.83,1
706245.58,732344.63,810129.8,77785.17,0.096,0,6,15,208818.58,0.68,0
1509057.24,1558017.84,1635133.55,77115.71,0.047,2,12,22,467560.97,0.82,0
89491.01,92071.82,105723.63,13651.81,0.129,0,5,16,23585.55,0.55,0
85813.08,96994.25,102338.93,5344.68,0.052,1,6,14,28312.23,0.93,0
526254.57,597202.53,649079.75,51877.22,0.08,0,10,17,145036.7,0.95,0
133409.55,140244.16,164027.83,23783.66,0.145,0,4,7,37050.7,0.72,0
85314.79,86330.24,105508.66,19178.42,0.182,0,3,5,29890.05,0.84,0
117378.1,110775.85,139130.54,28354.69,0.204,2,11,22,36845.95,0.85,0
127892.63,132860.53,151042.91,18182.39,0.12,0,10,15,49568.66,0.7,0
63817.43,65374.11,79283.37,13909.27,0.175,0,10,5,23276.82,0.81,0
588635.36,635792.56,646249.65,10457.09,0.016,2,11,7,215009.53,0.66,1
628843.95,589224.98,769987.63,180762.65,0.235,0,6,14,135106.17,0.75,0
99471.46,84054.71,117465.96,33411.25,0.284,0,3,11,25632.48,0.73,0
2105372.39,2088788.32,2569336.83,480548.51,0.187,1,19,23,717848.53,0.79,0
143672.57,136614.14,157883.69,21269.55,0.135,1,11,13,30084.7,0.6,1
1701065.97,1658704.17,1989309.45,330605.28,0.166,0,7,23,445306.53,0.74,0
1998441.05,1896893.9,2238951.82,342057.92,0.153,2,16,22,476752.59,0.69,0
648856.1,763216.05,756539.49,-6676.56,-0.009,0,5,13,250228.66,0.67,1
1639907.51,1612338.32,1992609.57,380271.25,0.191,1,14,18,389353.87,0.95,0
520509.33,520815.95,569730.04,48914.08,0.086,2,11,15,152883.64,0.53,0
1420004.3,1309457.04,1688986.17,379529.13,0.225,0,14,16,379636.92,0.8,0
1664612.48,1824028.13,2144455.15,320427.02,0.149,1,14,17,686508.13,0.69,0
571364.43,667770.34,667097.31,-673.03,-0.001,1,10,10,200213.11,0.79,0
495649.29,548747.35,647309.7,98562.35,0.152,0,9,9,129100.43,0.71,0
110118.97,109904.26,130934.14,21029.88,0.161,0,6,16,31080.19,0.88,0
778793.83,719317.94,919643.66,200325.73,0.218,1,11,12,199519.05,0.63,0
81842.42,86627.88,109509.53,22881.65,0.209,1,8,10,25109.81,0.81,0
151170.96,153826.61,167022.2,13195.59,0.079,0,10,11,45565.55,0.6,0
1609089.56,1745764.16,1970226.31,224462.15,0.114,2,14,7,476856.47,0.79,1
124378.82,114014.48,141724.39,27709.9,0.196,0,4,17,25768.57,0.78,0
121366.1,134030.63,151467.0,17436.37,0.115,0,3,7,45396.63,0.64,0
154543.87,148232.78,198485.94,50253.16,0.253,1,5,15,54002.75,0.69,0
746828.71,809167.89,916789.07,107621.18,0.117,0,11,11,301298.1,0.89,0
604999.19,642850.53,702258.82,59408.29,0.085,0,2,10,237384.12,0.8,0
869281.7,971087.84,962005.63,-9082.21,-0.009,0,11,19,243974.65,0.69,1
1817462.11,1921125.62,2220452.11,299326.49,0.135,1,16,25,575187.7,0.64,0
153964.08,172629.25,182046.55,9417.29,0.052,1,5,5,53071.21,0.81,1
129745.48,133327.77,158498.21,25170.44,0.159,0,3,19,47790.98,0.7,0
541198.1,620730.15,617839.4,-2890.75,-0.005,0,4,18,226550.32,0.78,0
169991.23,166680.6,189201.69,22521.09,0.119,0,10,5,47458.03,0.7,0
169432.46,193049.98,194900.39,1850.41,0.009,1,8,13,48617.46,0.89,0
99716.98,105320.86,122992.1,17671.24,0.144,0,2,4,39527.79,0.73,0
161409.97,168403.05,178009.81,9606.76,0.054,0,4,5,44284.18,0.61,1
587492.36,578669.26,721842.34,143173.08,0.198,1,9,15,185049.06,0.62,0
427760.51,483973.76,511861.48,27887.71,0.054,0,5,8,179785.31,0.78,0
470315.14,484204.82,586699.89,102495.07,0.175,0,8,22,126133.54,0.81,0
549888.42,587294.37,634384.07,47089.7,0.074,0,8,14,215142.25,0.71,0
602371.13,694672.13,721431.86,26759.73,0.037,1,13,14,179728.03,0.7,1
110623.69,108046.67,128539.39,20492.72,0.159,0,4,8,24851.19,0.67,0
661181.52,705177.85,749913.95,44736.1,0.06,0,5,17,224729.87,0.84,0
1511381.35,1491916.45,1841574.65,349658.2,0.19,3,20,24,541946.67,0.61,0
724606.48,642840.09,838204.6,195364.51,0.233,0,4,10,208210.49,0.7,0
593188.32,599446.56,682438.55,82991.99,0.122,0,6,14,194716.9,0.89,0
141708.18,150663.11,157989.17,7326.05,0.046,0,7,7,49661.8,0.72,0
476188.42,518354.56,522949.0,4594.44,0.009,0,4,7,139565.58,0.8,0
1819463.02,1912522.31,2192827.15,280304.84,0.128,1,10,10,683555.9,0.84,0
691027.59,756288.93,887748.18,131459.25,0.148,0,6,17,194166.37,0.66,0
108759.21,111692.29,119346.16,7653.86,0.064,0,4,14,28546.07,0.95,0
1330567.8,1228275.52,1654312.42,426036.89,0.258,3,18,23,376521.48,0.56,0
752284.21,923456.03,847282.08,-76173.95,-0.09,1,11,14,220210.23,0.66,1
103675.97,109176.91,117578.96,8402.05,0.071,0,5,16,31342.89,0.61,0
435539.63,461916.64,542590.11,80673.47,0.149,2,11,18,162327.73,0.74,0
94972.91,109123.4,117428.47,8305.07,0.071,0,6,8,39751.89,0.7,0
1557461.79,1552689.19,1778431.75,225742.56,0.127,1,13,16,541283.49,0.56,0
72413.33,81230.76,94615.85,13385.09,0.141,0,2,9,27082.54,0.88,0
1580560.2,1712018.29,1903920.32,191902.02,0.101,3,18,27,582564.76,0.76,1
470836.81,505549.75,596316.24,90766.49,0.152,0,6,12,184685.69,0.8,0
2059387.52,1961835.09,2295438.67,333603.58,0.145,0,16,27,656476.2,0.67,0
482285.71,471376.17,586366.33,114990.16,0.196,2,11,14,165685.4,0.9,0
614746.53,699830.44,742486.17,42655.74,0.057,0,4,14,184140.71,0.81,0
394929.33,392661.75,500013.74,107352.0,0.215,0,9,16,91938.45,0.81,0
106694.51,112600.4,123790.5,11190.11,0.09,0,4,14,36786.05,0.82,0
1719561.21,1870094.02,1945381.85,75287.83,0.039,2,15,22,431544.67,0.6,1
1470798.95,1474026.64,1790439.16,316412.52,0.177,0,16,16,457816.33,0.86,0
173157.33,209690.35,222556.79,12866.44,0.058,2,10,14,75134.01,0.85,1
865315.77,870286.68,1053548.32,183261.64,0.174,0,6,13,274572.23,0.79,0
155409.26,150014.6,171477.59,21462.99,0.125,0,5,22,55606.02,0.9,0
403247.59,390441.28,523908.81,133467.53,0.255,0,9,18,123335.85,0.81,0
98761.16,106977.03,134682.26,27705.23,0.206,0,9,20,39982.37,0.8,0
53810.87,59795.83,63258.07,3462.25,0.055,0,6,14,18826.98,0.7,0
532251.08,585669.06,630444.26,44775.2,0.071,1,10,9,155696.09,0.67,1
1445273.7,1553200.97,1690093.74,136892.77,0.081,0,14,16,574799.98,0.73,0
58055.27,60671.17,72169.3,11498.13,0.159,0,5,11,16049.89,0.8,0
104739.03,100435.79,120996.64,20560.85,0.17,0,10,9,23101.27,0.81,0
82932.07,90881.12,92570.34,1689.22,0.018,0,3,12,31681.96,0.57,0
62944.84,65967.92,73833.93,7866.0,0.107,0,3,16,19363.79,0.84,0
504666.32,549362.27,599649.22,50286.96,0.084,1,10,23,148448.72,0.79,1
1144691.95,1195081.82,1416083.48,221001.66,0.156,1,16,15,357103.66,0.87,0
105339.72,108555.67,116368.11,7812.44,0.067,0,5,20,40407.8,0.72,0
415009.68,464438.72,475048.29,10609.57,0.022,0,2,17,151345.14,0.77,0
86509.5,83188.49,108284.67,25096.18,0.232,0,8,9,23286.76,0.77,0
660234.09,641597.68,745856.45,104258.77,0.14,0,10,17,163787.49,0.79,0
1233995.72,1232780.71,1436738.38,203957.67,0.142,0,15,20,361613.75,0.8,0
1303141.21,1461080.63,1322883.42,-138197.21,-0.104,1,12,14,430445.91,0.69,1
1350080.95,1376000.15,1503179.84,127179.69,0.085,0,16,16,309426.92,0.79,0
603192.07,633440.75,701363.47,67922.73,0.097,1,7,19,142895.27,0.54,0
643099.34,597198.83,740059.76,142860.93,0.193,1,10,12,147961.6,0.83,0
648752.12,623151.11,769344.79,146193.69,0.19,1,11,13,193504.03,0.73,0
171834.87,181687.92,187689.48,6001.56,0.032,0,6,11,67099.68,0.78,0
133253.67,129458.74,152410.37,22951.63,0.151,0,3,15,48435.39,0.84,0
110818.05,122037.09,132749.34,10712.24,0.081,0,5,17,28055.03,0.73,1
352644.98,359774.83,396043.24,36268.41,0.092,2,13,13,122391.2,0.8,0
2024208.96,1991900.29,2159654.49,167754.19,0.078,0,12,27,497061.18,0.69,0
129172.57,116507.13,159487.01,42979.88,0.269,1,6,21,31222.83,0.61,0
615863.07,659664.24,758471.6,98807.36,0.13,0,9,17,214473.26,0.88,0
138668.65,135484.22,164228.36,28744.14,0.175,1,7,15,39864.48,0.9,0
111511.64,120068.39,134598.94,14530.55,0.108,0,2,13,42143.82,0.73,0
125180.02,129096.5,155844.3,26747.8,0.172,0,2,11,41083.06,0.8,0
529331.3,531084.48,597571.51,66487.04,0.111,0,4,8,134603.09,0.85,0
1333329.2,1449239.91,1588562.31,139322.41,0.088,0,14,12,408015.77,0.56,0
137968.75,149872.79,166934.62,17061.83,0.102,0,4,3,56259.87,0.65,0
640000.91,696956.59,799709.59,102753.0,0.128,0,9,10,161894.99,0.82,0
549561.79,564353.85,690906.8,126552.94,0.183,1,6,7,161465.93,0.67,0
104918.23,107711.11,134850.98,27139.87,0.201,0,2,10,38850.63,0.6,1
120736.07,114512.55,145010.84,30498.29,0.21,2,8,13,38978.2,0.92,0
555210.49,638705.79,648957.37,10251.57,0.016,0,9,16,226834.16,0.55,1
646499.85,584798.98,736021.24,151222.27,0.205,1,9,5,132330.13,0.83,0
802000.46,820518.41,884134.53,63616.12,0.072,1,10,13,267095.94,0.68,0
685858.55,703643.7,800064.46,96420.77,0.121,0,8,9,240058.8,0.63,0
